constructed_group_id,regime,size,members,anchors,n_examples,n_train,n_val,n_test,heterogeneity
est_002789,established,2,812|838,812|838,2,2,0,0,0.1454
est_002790,established,2,812|896,812|896,2,2,0,0,0.4091
est_002791,established,2,761|812,761|812,2,1,1,0,0.3083
est_002792,established,4,65|492|813|1279,813,2,2,0,0,0.0902
est_002793,established,2,813|844,813,2,2,0,0,0.0359
est_002794,established,3,813|844|1425,813,2,2,0,0,0.0423
est_002795,established,3,65|813|1279,813,2,2,0,0,0.0571
est_002796,established,5,492|813|844|1279|1425,813|1425,2,2,0,0,0.0548
est_002797,established,2,529|814,814,2,1,0,1,0.2812
est_002798,established,2,800|816,800|816,2,1,0,1,0.4287
est_002799,established,2,112|818,818,2,2,0,0,0.5923
est_002800,established,3,789|820|1328,820|1328,2,2,0,0,0.5948
est_002801,established,3,703|820|1328,703|820,2,1,1,0,0.4814
est_002802,established,4,158|720|734|822,822,2,1,0,1,0.3546
est_002803,established,2,823|1499,823,2,1,0,1,0.3879
est_002804,established,2,826|868,826|868,2,2,0,0,0.2541
est_002805,established,2,345|826,345|826,2,1,0,1,0.2371
est_002806,established,2,241|828,241|828,2,1,1,0,0.2208
est_002807,established,2,828|879,828|879,2,2,0,0,0.1834
est_002808,established,2,830|1137,830,2,2,0,0,0.428
est_002809,established,2,820|831,831,2,2,0,0,0.6054
est_002810,established,2,834|1129,834|1129,2,2,0,0,0.82
est_002811,established,4,549|594|835|1038,549|835,2,1,1,0,0.1238
est_002812,established,2,836|1093,836,2,2,0,0,0.2772
est_002813,established,3,686|838|997,838,2,2,0,0,0.5219
est_002814,established,5,134|186|249|376|838,838,2,2,0,0,0.3876
est_002815,established,2,838|1337,838,2,2,0,0,0.4767
est_002816,established,2,263|838,838,2,2,0,0,0.3223
est_002817,established,3,241|839|1277,241|839,2,1,1,0,0.4995
est_002818,established,3,308|310|839,308|839,2,1,0,1,0.2885
est_002819,established,4,310|841|999|1502,841,2,1,1,0,0.6654
est_002820,established,3,310|841|1502,841|1502,2,2,0,0,0.7427
est_002821,established,4,841|999|1054|1502,841|1054,2,2,0,0,0.6914
est_002822,established,2,841|999,841|999,2,1,0,1,0.6039
est_002823,established,3,145|842|1081,842,2,2,0,0,0.206
est_002824,established,2,843|1070,843,2,2,0,0,0.0676
est_002825,established,2,844|1253,844,2,2,0,0,0.222
est_002826,established,4,509|558|844|1425,844|1425,2,1,1,0,0.2219
est_002827,established,2,844|1507,844|1507,2,2,0,0,0.0753
est_002828,established,3,773|844|1391,844|1391,2,2,0,0,0.1914
est_002829,established,3,653|844|1149,844|1149,2,2,0,0,0.2591
est_002830,established,5,60|65|246|844|1101,246|844,2,1,0,1,0.2086
est_002831,established,2,845|1603,845|1603,2,2,0,0,0.8441
est_002832,established,2,846|1032,846,2,1,0,1,0.5617
est_002833,established,2,66|846,66|846,2,1,1,0,0.5559
est_002834,established,4,66|249|846|1201,846,2,1,0,1,0.5344
est_002835,established,4,613|848|1327|1529,848,2,2,0,0,0.0975
est_002836,established,4,848|865|1002|1392,848,2,1,0,1,0.248
est_002837,established,2,521|849,849,2,1,0,1,0.7985
est_002838,established,2,849|1464,849|1464,2,1,1,0,0.5964
est_002839,established,2,849|1452,849,2,2,0,0,0.209
est_002840,established,2,849|1200,849|1200,2,2,0,0,0.9728
est_002841,established,3,849|1253|1655,849,2,1,0,1,0.3594
est_002842,established,5,844|849|1149|1253|1655,849|1655,2,1,0,1,0.2553
est_002843,established,2,850|1151,850,2,1,0,1,0.1157
est_002844,established,4,553|850|955|1151,850|955,2,1,1,0,0.31
est_002845,established,2,850|875,850,2,2,0,0,0.768
est_002846,established,2,56|851,851,2,1,0,1,0.4929
est_002847,established,3,852|1088|1589,852|1088,2,2,0,0,0.381
est_002848,established,2,323|852,323|852,2,1,0,1,0.2891
est_002849,established,2,852|1004,852,2,2,0,0,0.1489
est_002850,established,2,852|1529,852|1529,2,2,0,0,0.0309
est_002851,established,2,856|918,856,2,2,0,0,0.1901
est_002852,established,2,859|1226,859,2,1,1,0,0.318
est_002853,established,2,162|859,859,2,2,0,0,0.8048
est_002854,established,4,400|663|860|1238,860,2,1,0,1,0.3099
est_002855,established,4,424|860|1036|1627,424|860,2,1,1,0,0.227
est_002856,established,4,77|576|860|948,860,2,1,1,0,0.3528
est_002857,established,3,576|794|860,860,2,2,0,0,0.6874
est_002858,established,2,860|1438,860|1438,2,1,1,0,0.1991
est_002859,established,2,247|861,861,2,1,0,1,0.8672
est_002860,established,2,865|1002,865,2,2,0,0,0.4234
est_002861,established,2,865|1277,865|1277,2,1,1,0,0.16
est_002862,established,3,865|1146|1277,865|1146,2,2,0,0,0.1995
est_002863,established,2,867|1493,867|1493,2,2,0,0,0.0766
est_002864,established,3,269|286|868,868,2,1,0,1,0.4845
est_002865,established,2,868|1226,868|1226,2,2,0,0,0.8903
est_002866,established,2,868|1311,868,2,1,0,1,0.2228
est_002867,established,2,88|868,868,2,1,0,1,0.4423
est_002868,established,2,438|868,868,2,2,0,0,0.5713
est_002869,established,4,537|868|952|1539,868|1539,2,1,1,0,0.6391
est_002870,established,2,868|960,868,2,1,1,0,0.3135
est_002871,established,2,269|869,269|869,2,1,0,1,0.4472
est_002872,established,2,212|869,212|869,2,1,1,0,0.0835
est_002873,established,4,540|850|875|1222,875|1222,2,2,0,0,0.6851
est_002874,established,2,876|1499,876,2,2,0,0,0.6519
est_002875,established,2,868|876,876,2,1,1,0,0.6533
est_002876,established,4,640|876|1043|1499,876,2,1,1,0,0.4593
est_002877,established,2,434|876,876,2,1,0,1,0.6235
est_002878,established,2,118|877,118|877,2,1,0,1,0.8265
est_002879,established,2,879|1507,879|1507,2,2,0,0,0.1256
est_002880,established,3,272|879|1054,879|1054,2,1,1,0,0.3527
est_002881,established,3,300|880|1425,880|1425,2,2,0,0,0.2718
est_002882,established,2,884|1002,884|1002,2,1,1,0,0.2859
est_002883,established,2,728|884,884,2,2,0,0,0.6222
est_002884,established,2,884|1414,884|1414,2,2,0,0,0.1509
est_002885,established,2,886|1005,886,2,1,0,1,0.7441
est_002886,established,3,887|1228|1502,887,2,2,0,0,0.822
est_002887,established,3,887|1012|1228,887|1012,2,2,0,0,0.7336
est_002888,established,3,424|891|1296,891|1296,2,2,0,0,0.7208
est_002889,established,3,891|1291|1517,891|1517,2,2,0,0,0.828
est_002890,established,2,891|1171,891,2,1,1,0,0.8433
est_002891,established,2,892|1008,892|1008,2,1,0,1,0.8187
est_002892,established,2,186|893,893,2,1,1,0,0.3026
est_002893,established,2,893|1460,893,2,2,0,0,0.6831
est_002894,established,2,893|1149,893,2,1,1,0,0.1409
est_002895,established,2,893|1481,893|1481,2,2,0,0,0.6915
est_002896,established,5,77|126|452|894|1455,894,2,1,0,1,0.1885
est_002897,established,3,852|896|1529,852|896,2,1,1,0,0.1754
est_002898,established,2,47|896,47|896,2,1,1,0,0.3172
est_002899,established,2,520|896,520|896,2,1,0,1,0.536
est_002900,established,2,897|1502,897|1502,2,2,0,0,0.7144
est_002901,established,3,275|897|1502,897|1502,2,2,0,0,0.7238
est_002902,established,3,900|1160|1580,900|1160,2,1,0,1,0.4201
est_002903,established,3,537|901|1499,901,2,2,0,0,0.5505
