u1,u2,n_groups,n_venues,weight_idf
135,862,1,1,0.236177
862,965,1,1,0.236177
632,965,1,1,0.236177
478,869,1,1,0.236177
965,1188,1,1,0.236177
1189,1615,1,1,0.236177
144,1189,1,1,0.236177
1636,1657,1,1,0.236177
1572,1657,1,1,0.236177
1496,1657,1,1,0.236177
1496,1572,1,1,0.236177
190,1264,1,1,0.236177
422,965,1,1,0.236177
633,1168,1,1,0.236177
190,1657,1,1,0.236177
633,1657,1,1,0.236177
190,633,1,1,0.236177
190,1496,1,1,0.236177
216,1264,1,1,0.236177
216,1496,1,1,0.236177
1264,1496,1,1,0.236177
368,1268,1,1,0.234594
472,1247,1,1,0.234594
472,1489,1,1,0.234594
1247,1489,1,1,0.234594
300,852,1,1,0.234594
15,1351,1,1,0.234594
1424,1576,1,1,0.234594
748,1141,1,1,0.234594
569,1305,1,1,0.234594
428,1141,1,1,0.234594
655,1514,1,1,0.234594
412,1214,1,1,0.234594
576,595,1,1,0.234594
413,1083,1,1,0.234594
160,969,1,1,0.233827
474,1352,1,1,0.233827
474,1012,1,1,0.233827
439,1222,1,1,0.233827
1189,1397,1,1,0.233827
646,650,1,1,0.233075
832,1279,1,1,0.233075
210,469,1,1,0.233075
77,694,1,1,0.233075
210,1232,1,1,0.233075
469,1232,1,1,0.233075
232,1382,1,1,0.233075
722,863,1,1,0.233075
832,1316,1,1,0.233075
863,1266,1,1,0.233075
1302,1623,1,1,0.233075
646,1043,1,1,0.233075
124,294,1,1,0.232338
338,489,1,1,0.232338
396,1114,1,1,0.232338
1287,1578,1,1,0.232338
262,785,1,1,0.232338
159,289,1,1,0.232338
289,294,1,1,0.232338
843,1226,1,1,0.230908
687,1587,1,1,0.230908
591,1377,1,1,0.230908
960,1549,1,1,0.230908
27,1587,1,1,0.230908
27,313,1,1,0.230908
591,1549,1,1,0.230908
372,533,1,1,0.230908
313,814,1,1,0.230908
814,1587,1,1,0.230908
543,1226,1,1,0.230908
543,1337,1,1,0.230908
1226,1337,1,1,0.230908
480,517,1,1,0.230908
126,664,1,1,0.230908
591,664,1,1,0.230908
556,676,1,1,0.230908
126,591,1,1,0.230908
775,1050,1,1,0.230908
502,1031,1,1,0.230908
331,1031,1,1,0.230908
331,502,1,1,0.230908
316,1031,1,1,0.230908
316,502,1,1,0.230908
673,750,1,1,0.230908
200,1476,1,1,0.230908
200,891,1,1,0.230908
200,302,1,1,0.230908
39,1476,1,1,0.230908
39,891,1,1,0.230908
39,302,1,1,0.230908
39,200,1,1,0.230908
691,1476,1,1,0.230908
691,891,1,1,0.230908
302,691,1,1,0.230908
592,1136,1,1,0.230908
15,1136,1,1,0.230908
15,592,1,1,0.230908
316,452,1,1,0.230908
452,1070,1,1,0.230908
452,1117,1,1,0.230908
772,876,1,1,0.230908
711,1050,1,1,0.230908
76,1050,1,1,0.230908
76,711,1,1,0.230908
1369,1589,1,1,0.230908
293,1423,1,1,0.230908
293,594,1,1,0.230908
372,1423,1,1,0.230908
372,594,1,1,0.230908
946,1174,1,1,0.230908
331,1117,1,1,0.230908
857,1627,1,1,0.230908
50,676,1,1,0.230908
50,556,1,1,0.230908
1070,1226,1,1,0.230908
615,1226,1,1,0.230908
331,1226,1,1,0.230908
316,1226,1,1,0.230908
615,1117,1,1,0.230908
909,930,1,1,0.230213
527,909,1,1,0.230213
330,1011,1,1,0.230213
853,909,1,1,0.230213
330,1574,1,1,0.230213
330,1601,1,1,0.230213
1011,1574,1,1,0.230213
1574,1601,1,1,0.230213
877,1133,1,1,0.230213
349,875,1,1,0.230213
241,1352,1,1,0.230213
349,1568,1,1,0.230213
16,457,1,1,0.230213
457,875,1,1,0.230213
1153,1181,1,1,0.230213
241,370,1,1,0.230213
16,875,1,1,0.230213
909,999,1,1,0.230213
370,1013,1,1,0.230213
241,531,1,1,0.230213
875,1065,1,1,0.230213
875,1011,1,1,0.230213
370,875,1,1,0.230213
370,1068,1,1,0.230213
875,1068,1,1,0.230213
370,1620,1,1,0.230213
160,1011,1,1,0.230213
241,1011,1,1,0.230213
375,875,1,1,0.230213
624,1324,1,1,0.225692
805,1067,1,1,0.225692
407,1067,1,1,0.225692
407,501,1,1,0.225692
624,1633,1,1,0.225692
869,1633,1,1,0.225692
805,869,1,1,0.225692
141,1578,1,1,0.225692
805,1288,1,1,0.225692
407,562,1,1,0.225692
1200,1633,1,1,0.225692
1288,1324,1,1,0.225692
1288,1633,1,1,0.225692
686,1589,1,1,0.225692
30,1422,1,1,0.225692
219,444,1,1,0.225692
622,1121,1,1,0.225692
31,1633,1,1,0.225692
1212,1313,1,1,0.225692
1114,1629,1,1,0.225692
407,1501,1,1,0.225692
1501,1633,1,1,0.225692
1335,1372,1,1,0.225692
115,1124,1,1,0.225692
597,846,1,1,0.225692
415,1372,1,1,0.225692
415,1335,1,1,0.225692
536,838,1,1,0.225692
116,1230,1,1,0.225692
384,1179,1,1,0.225692
559,999,1,1,0.225692
1107,1578,1,1,0.225692
47,1402,1,1,0.225692
802,1346,1,1,0.225692
247,550,1,1,0.225692
72,1081,1,1,0.225692
597,625,1,1,0.225692
597,696,1,1,0.225692
597,1141,1,1,0.225692
625,696,1,1,0.225692
625,1141,1,1,0.225692
696,1141,1,1,0.225692
923,988,1,1,0.225692
269,525,1,1,0.225692
1245,1519,1,1,0.225692
67,1238,1,1,0.225692
624,805,1,1,0.225692
624,869,1,1,0.225692
524,1245,1,1,0.225692
813,823,1,1,0.225692
899,908,1,1,0.225692
905,1186,1,1,0.225692
681,1633,1,1,0.225692
219,1313,1,1,0.225692
575,1336,1,1,0.2245
1496,1562,1,1,0.2245
91,119,1,1,0.2245
91,1594,1,1,0.2245
119,1005,1,1,0.2245
1005,1121,1,1,0.2245
91,1121,1,1,0.2245
912,1074,1,1,0.2245
1062,1623,1,1,0.2245
912,1623,1,1,0.2245
912,1062,1,1,0.2245
50,1161,1,1,0.2245
394,912,1,1,0.2245
923,1562,1,1,0.2245
1562,1636,1,1,0.2245
1252,1636,1,1,0.2245
373,613,1,1,0.2245
1252,1496,1,1,0.2245
121,1415,1,1,0.2245
912,1336,1,1,0.2245
912,1472,1,1,0.2245
56,1074,1,1,0.2245
121,1077,1,1,0.2245
833,1415,1,1,0.2245
833,1077,1,1,0.2245
1105,1595,1,1,0.2245
575,1595,1,1,0.2245
575,1105,1,1,0.2245
56,1595,1,1,0.2245
56,1105,1,1,0.2245
451,1084,1,1,0.2245
119,1594,1,1,0.2245
43,1020,1,1,0.222785
71,677,1,1,0.222785
331,1273,1,1,0.222785
225,1157,1,1,0.222785
221,358,1,1,0.222785
993,1297,1,1,0.222785
250,1297,1,1,0.222785
1189,1293,1,1,0.222785
347,1351,1,1,0.222785
1093,1361,1,1,0.221687
687,803,1,1,0.221687
1188,1549,1,1,0.221687
1264,1361,1,1,0.221687
687,1093,1,1,0.221687
687,1264,1,1,0.221687
366,490,1,1,0.221687
1093,1264,1,1,0.221687
803,1264,1,1,0.221687
687,1361,1,1,0.221687
381,1099,1,1,0.221687
366,722,1,1,0.221687
547,739,1,1,0.221687
67,722,1,1,0.221687
193,271,1,1,0.221687
547,960,1,1,0.221687
739,1162,1,1,0.221687
621,796,1,1,0.221687
739,960,1,1,0.221687
67,193,1,1,0.221687
547,1162,1,1,0.221687
193,833,1,1,0.221687
747,925,1,1,0.221687
1200,1547,1,1,0.221687
847,1592,1,1,0.221687
270,500,1,1,0.221687
500,783,1,1,0.221687
1350,1446,1,1,0.221687
1446,1547,1,1,0.221687
960,1162,1,1,0.221687
1200,1350,1,1,0.221687
1004,1099,1,1,0.221687
601,917,1,1,0.221687
1397,1523,1,1,0.221687
142,601,1,1,0.221687
142,917,1,1,0.221687
293,380,1,1,0.221687
762,900,1,1,0.221687
592,1033,1,1,0.221687
343,592,1,1,0.221687
302,839,1,1,0.221687
293,762,1,1,0.221687
442,1033,1,1,0.221687
381,1004,1,1,0.221687
293,1264,1,1,0.221687
490,722,1,1,0.221687
380,762,1,1,0.221687
380,1264,1,1,0.221687
762,1264,1,1,0.221687
380,725,1,1,0.221687
1014,1033,1,1,0.221687
1251,1256,1,1,0.221151
1251,1656,1,1,0.221151
316,838,1,1,0.221151
538,1140,1,1,0.221151
245,1347,1,1,0.221151
579,1297,1,1,0.221151
579,1452,1,1,0.221151
1251,1317,1,1,0.221151
745,1355,1,1,0.221151
162,1296,1,1,0.221151
1359,1424,1,1,0.219089
806,1326,1,1,0.219089
661,806,1,1,0.219089
661,1326,1,1,0.219089
806,927,1,1,0.219089
661,927,1,1,0.219089
185,347,1,1,0.219089
159,1633,1,1,0.219089
3,623,1,1,0.219089
835,1230,1,1,0.219089
248,1588,1,1,0.219089
101,1054,1,1,0.219089
615,1633,1,1,0.219089
1159,1600,1,1,0.219089
380,1633,1,1,0.219089
9,74,1,1,0.219089
159,380,1,1,0.219089
500,1633,1,1,0.219089
101,1081,1,1,0.219089
1054,1081,1,1,0.219089
166,484,1,1,0.219089
927,1326,1,1,0.219089
590,1633,1,1,0.219089
347,1633,1,1,0.219089
112,1421,1,1,0.218104
727,1369,1,1,0.218104
913,1532,1,1,0.218104
1047,1282,1,1,0.218104
182,521,1,1,0.218104
950,1043,1,1,0.218104
1369,1564,1,1,0.218104
370,1432,1,1,0.218104
705,902,1,1,0.215762
705,830,1,1,0.215762
117,889,1,1,0.215762
117,249,1,1,0.215762
889,1261,1,1,0.215762
558,807,1,1,0.215762
830,902,1,1,0.215762
511,918,1,1,0.215762
391,1162,1,1,0.215762
391,1231,1,1,0.215762
391,1279,1,1,0.215762
1162,1231,1,1,0.215762
705,1372,1,1,0.215762
1162,1279,1,1,0.215762
1231,1279,1,1,0.215762
786,869,1,1,0.215762
889,989,1,1,0.215762
511,1431,1,1,0.215762
52,652,1,1,0.215762
918,1431,1,1,0.215762
96,388,1,1,0.215762
388,786,1,1,0.215762
96,705,1,1,0.215762
605,836,1,1,0.215762
61,1386,1,1,0.215762
61,1372,1,1,0.215762
652,1050,1,1,0.215762
52,1050,1,1,0.215762
249,1261,1,1,0.215762
754,1192,1,1,0.215762
558,1041,1,1,0.215762
68,126,1,1,0.215762
99,606,1,1,0.215762
99,623,1,1,0.215762
606,623,1,1,0.215762
153,705,1,1,0.215762
153,1361,1,1,0.215762
705,1361,1,1,0.215762
68,464,1,1,0.215762
87,606,1,1,0.215762
68,770,1,1,0.215762
68,1588,1,1,0.215762
649,666,1,1,0.215762
126,464,1,1,0.215762
87,663,1,1,0.215762
140,756,1,1,0.215762
87,623,1,1,0.215762
87,99,1,1,0.215762
126,1588,1,1,0.215762
807,918,1,1,0.215762
266,1470,1,1,0.215762
807,1638,1,1,0.215762
190,1638,1,1,0.215762
190,807,1,1,0.215762
918,1361,1,1,0.215762
807,1361,1,1,0.215762
478,807,1,1,0.215762
412,969,1,1,0.215762
1470,1544,1,1,0.215762
1470,1614,1,1,0.215762
359,558,1,1,0.215762
359,1544,1,1,0.215762
359,1614,1,1,0.215762
412,607,1,1,0.215762
126,770,1,1,0.215762
464,770,1,1,0.215762
703,1226,1,1,0.215762
703,1372,1,1,0.215762
1003,1648,1,1,0.215762
1003,1143,1,1,0.215762
222,703,1,1,0.215762
222,1372,1,1,0.215762
222,1451,1,1,0.215762
222,1476,1,1,0.215762
703,1451,1,1,0.215762
728,1010,1,1,0.215762
703,1476,1,1,0.215762
1372,1451,1,1,0.215762
1372,1476,1,1,0.215762
1451,1476,1,1,0.215762
702,1372,1,1,0.215762
702,739,1,1,0.215762
1143,1648,1,1,0.215762
335,794,1,1,0.215762
464,1588,1,1,0.215762
418,538,1,1,0.215762
721,1238,1,1,0.215762
558,1470,1,1,0.215762
270,1384,1,1,0.215762
549,1154,1,1,0.215762
538,730,1,1,0.215762
34,1326,1,1,0.215762
148,418,1,1,0.215762
649,1192,1,1,0.215762
820,1038,1,1,0.215762
704,1298,1,1,0.215762
473,1594,1,1,0.215762
479,918,1,1,0.215762
1282,1326,1,1,0.215762
105,410,1,1,0.215762
537,1154,1,1,0.215762
770,1192,1,1,0.215762
100,1031,1,1,0.214871
556,816,1,1,0.214871
57,1245,1,1,0.214871
57,186,1,1,0.214871
479,868,1,1,0.214871
794,1311,1,1,0.214871
1178,1335,1,1,0.214871
1031,1499,1,1,0.214871
1149,1335,1,1,0.214871
794,1034,1,1,0.214871
1034,1273,1,1,0.214871
794,1031,1,1,0.214871
1279,1335,1,1,0.214871
959,1335,1,1,0.214871
269,868,1,1,0.214871
615,810,1,1,0.214871
615,1659,1,1,0.214871
615,1326,1,1,0.214871
594,800,1,1,0.214871
840,1335,1,1,0.214871
476,1659,1,1,0.214871
186,1245,1,1,0.214871
1268,1335,1,1,0.214871
991,1335,1,1,0.214871
333,918,1,1,0.214871
801,1335,1,1,0.214871
280,1335,1,1,0.214871
141,1335,1,1,0.214871
141,203,1,1,0.214871
1008,1335,1,1,0.214871
1130,1335,1,1,0.214871
918,1455,1,1,0.214871
333,1455,1,1,0.214871
615,1178,1,1,0.214871
461,615,1,1,0.214871
55,1335,1,1,0.214871
100,1499,1,1,0.214871
1160,1335,1,1,0.214871
662,663,1,1,0.214434
330,461,1,1,0.214434
951,980,1,1,0.214434
7,93,1,1,0.214434
36,1155,1,1,0.214434
374,1031,1,1,0.214434
476,642,1,1,0.214434
727,1450,1,1,0.214434
394,1067,1,1,0.214003
132,394,1,1,0.214003
635,1067,1,1,0.214003
637,763,1,1,0.214003
609,730,1,1,0.214003
273,612,1,1,0.214003
433,1561,1,1,0.214003
273,872,1,1,0.214003
123,872,1,1,0.214003
332,398,1,1,0.214003
244,903,1,1,0.214003
123,273,1,1,0.214003
570,753,1,1,0.214003
252,927,1,1,0.214003
67,1658,1,1,0.209988
556,1187,1,1,0.209988
273,864,1,1,0.209988
993,1124,1,1,0.209988
691,1368,1,1,0.209988
1411,1658,1,1,0.209988
864,1261,1,1,0.209988
67,1411,1,1,0.209988
864,879,1,1,0.209988
864,1428,1,1,0.209988
613,864,1,1,0.209988
864,1195,1,1,0.209988
857,864,1,1,0.209988
1248,1428,1,1,0.209988
156,1603,1,1,0.209988
156,1519,1,1,0.208516
296,638,1,1,0.208516
184,765,1,1,0.208516
436,1576,1,1,0.208516
1249,1563,1,1,0.208516
699,1368,1,1,0.208516
1234,1519,1,1,0.208516
156,1234,1,1,0.208516
461,1209,1,1,0.208516
1041,1320,1,1,0.208516
283,824,1,1,0.208516
85,824,1,1,0.208516
85,283,1,1,0.208516
501,1102,1,1,0.208516
436,1054,1,1,0.208516
293,780,1,1,0.208516
1330,1368,1,1,0.208516
589,1482,1,1,0.208159
909,1283,1,1,0.208159
448,1608,1,1,0.208159
125,1006,1,1,0.208159
186,587,1,1,0.208159
587,761,1,1,0.208159
896,913,1,1,0.208159
1283,1482,1,1,0.208159
1283,1623,1,1,0.208159
1482,1623,1,1,0.208159
55,1099,1,1,0.208159
647,909,1,1,0.208159
270,1368,1,1,0.208159
106,1172,1,1,0.208159
106,1523,1,1,0.208159
304,487,1,1,0.208159
1172,1523,1,1,0.208159
633,1164,1,1,0.208159
1005,1408,1,1,0.208159
487,1099,1,1,0.208159
558,1408,1,1,0.208159
664,1472,1,1,0.208159
448,1290,1,1,0.208159
448,1031,1,1,0.208159
448,770,1,1,0.208159
448,694,1,1,0.208159
224,587,1,1,0.208159
224,913,1,1,0.208159
224,1005,1,1,0.208159
224,1196,1,1,0.208159
868,1608,1,1,0.208159
587,1005,1,1,0.208159
913,1005,1,1,0.208159
1005,1196,1,1,0.208159
304,913,1,1,0.208159
351,558,1,1,0.208159
558,694,1,1,0.208159
304,1196,1,1,0.208159
726,802,1,1,0.208159
558,815,1,1,0.208159
558,802,1,1,0.208159
913,1099,1,1,0.208159
1099,1196,1,1,0.208159
78,448,1,1,0.208159
351,448,1,1,0.208159
1138,1517,1,1,0.208159
310,1138,1,1,0.208159
503,1517,1,1,0.208159
304,600,1,1,0.208159
304,558,1,1,0.208159
270,727,1,1,0.208159
270,304,1,1,0.208159
1006,1547,1,1,0.208159
60,1290,1,1,0.208159
304,1547,1,1,0.208159
304,1154,1,1,0.208159
304,729,1,1,0.208159
304,628,1,1,0.208159
144,304,1,1,0.208159
106,1138,1,1,0.208159
487,729,1,1,0.208159
487,628,1,1,0.208159
60,503,1,1,0.208159
144,487,1,1,0.208159
60,1482,1,1,0.208159
106,503,1,1,0.208159
106,1482,1,1,0.208159
503,589,1,1,0.208159
503,1482,1,1,0.208159
304,727,1,1,0.208159
304,747,1,1,0.208159
1482,1517,1,1,0.208159
1006,1154,1,1,0.208159
186,600,1,1,0.208159
186,1154,1,1,0.208159
726,999,1,1,0.208159
727,1494,1,1,0.208159
60,1138,1,1,0.208159
727,1121,1,1,0.208159
727,999,1,1,0.208159
727,747,1,1,0.208159
186,1547,1,1,0.208159
600,761,1,1,0.208159
600,1006,1,1,0.208159
558,727,1,1,0.208159
304,1494,1,1,0.208159
761,1154,1,1,0.208159
304,1121,1,1,0.208159
125,224,1,1,0.208159
310,589,1,1,0.208159
761,1547,1,1,0.208159
304,999,1,1,0.208159
125,1005,1,1,0.208159
273,943,1,1,0.208159
726,815,1,1,0.208159
16,117,1,1,0.208159
943,1523,1,1,0.208159
19,1415,1,1,0.208159
313,741,1,1,0.208159
117,311,1,1,0.208159
16,1216,1,1,0.208159
16,867,1,1,0.208159
313,1248,1,1,0.208159
313,1562,1,1,0.208159
16,552,1,1,0.208159
16,460,1,1,0.208159
16,311,1,1,0.208159
741,1523,1,1,0.208159
741,1580,1,1,0.208159
1248,1523,1,1,0.208159
231,1216,1,1,0.208159
2,1216,1,1,0.208159
2,867,1,1,0.208159
1248,1580,1,1,0.208159
2,552,1,1,0.208159
2,460,1,1,0.208159
868,1290,1,1,0.208159
2,117,1,1,0.208159
2,16,1,1,0.208159
1523,1562,1,1,0.208159
1216,1295,1,1,0.208159
1171,1216,1,1,0.208159
906,1216,1,1,0.208159
859,1216,1,1,0.208159
117,460,1,1,0.208159
117,552,1,1,0.208159
117,867,1,1,0.208159
117,1216,1,1,0.208159
273,1383,1,1,0.208159
273,1415,1,1,0.208159
273,1580,1,1,0.208159
474,493,1,1,0.208159
474,943,1,1,0.208159
273,493,1,1,0.208159
474,1087,1,1,0.208159
474,1383,1,1,0.208159
474,1415,1,1,0.208159
474,1580,1,1,0.208159
493,1383,1,1,0.208159
943,1383,1,1,0.208159
273,474,1,1,0.208159
1087,1383,1,1,0.208159
1383,1415,1,1,0.208159
1383,1580,1,1,0.208159
552,1216,1,1,0.208159
313,493,1,1,0.208159
552,867,1,1,0.208159
460,1216,1,1,0.208159
460,867,1,1,0.208159
460,552,1,1,0.208159
311,1216,1,1,0.208159
311,867,1,1,0.208159
311,552,1,1,0.208159
313,1087,1,1,0.208159
311,460,1,1,0.208159
287,1216,1,1,0.208159
2,311,1,1,0.208159
867,1242,1,1,0.208159
78,868,1,1,0.208159
143,1576,1,1,0.208159
881,1496,1,1,0.208159
862,1562,1,1,0.208159
862,1216,1,1,0.208159
862,927,1,1,0.208159
838,862,1,1,0.208159
741,862,1,1,0.208159
500,862,1,1,0.208159
1216,1248,1,1,0.208159
927,1248,1,1,0.208159
838,1248,1,1,0.208159
500,1248,1,1,0.208159
19,1216,1,1,0.208159
19,927,1,1,0.208159
143,1581,1,1,0.208159
19,838,1,1,0.208159
19,500,1,1,0.208159
78,413,1,1,0.208159
413,558,1,1,0.208159
249,287,1,1,0.208159
413,770,1,1,0.208159
747,802,1,1,0.208159
747,815,1,1,0.208159
802,815,1,1,0.208159
802,1121,1,1,0.208159
802,1368,1,1,0.208159
802,1494,1,1,0.208159
815,1121,1,1,0.208159
815,1368,1,1,0.208159
815,1494,1,1,0.208159
143,379,1,1,0.208159
868,1031,1,1,0.208159
273,1087,1,1,0.208159
558,868,1,1,0.208159
413,1608,1,1,0.208159
413,1290,1,1,0.208159
413,1031,1,1,0.208159
413,868,1,1,0.208159
249,379,1,1,0.208159
249,1576,1,1,0.208159
249,1581,1,1,0.208159
1562,1580,1,1,0.208159
318,1581,1,1,0.208159
379,844,1,1,0.208159
379,1242,1,1,0.208159
379,1576,1,1,0.208159
379,1581,1,1,0.208159
844,1576,1,1,0.208159
844,1581,1,1,0.208159
1242,1576,1,1,0.208159
1242,1581,1,1,0.208159
1576,1581,1,1,0.208159
143,859,1,1,0.208159
143,1171,1,1,0.208159
143,1295,1,1,0.208159
318,906,1,1,0.208159
231,844,1,1,0.208159
318,1576,1,1,0.208159
770,868,1,1,0.208159
318,379,1,1,0.208159
334,431,1,1,0.207806
789,833,1,1,0.207806
774,1165,1,1,0.207806
680,847,1,1,0.207806
876,1242,1,1,0.207806
161,1242,1,1,0.207806
161,876,1,1,0.207806
403,542,1,1,0.207806
97,1139,1,1,0.207806
96,833,1,1,0.207806
30,765,1,1,0.207806
96,789,1,1,0.207806
1460,1463,1,1,0.207806
989,999,1,1,0.207806
302,1411,1,1,0.207806
293,957,1,1,0.207806
340,1328,1,1,0.207806
156,765,1,1,0.207806
156,302,1,1,0.207806
454,483,1,1,0.207806
680,1242,1,1,0.207806
298,1010,1,1,0.206099
884,944,1,1,0.206099
158,1525,1,1,0.206099
186,1525,1,1,0.206099
560,944,1,1,0.206099
171,560,1,1,0.206099
944,1257,1,1,0.206099
884,1257,1,1,0.206099
171,1257,1,1,0.206099
1016,1392,1,1,0.206099
171,884,1,1,0.206099
789,1315,1,1,0.206099
802,1512,1,1,0.206099
338,997,1,1,0.206099
844,1481,1,1,0.206099
60,1088,1,1,0.206099
384,1298,1,1,0.206099
612,1335,1,1,0.206099
1248,1555,1,1,0.206099
780,1481,1,1,0.206099
464,1080,1,1,0.206099
123,485,1,1,0.206099
111,955,1,1,0.206099
201,1090,1,1,0.205443
274,941,1,1,0.205443
274,1101,1,1,0.205443
993,1282,1,1,0.205443
38,241,1,1,0.205443
344,1657,1,1,0.205443
38,1657,1,1,0.205443
10,1090,1,1,0.205443
909,941,1,1,0.205443
527,1622,1,1,0.205443
909,1101,1,1,0.205443
51,909,1,1,0.205443
1370,1479,1,1,0.205443
279,600,1,1,0.205443
1068,1311,1,1,0.205443
1011,1424,1,1,0.205443
637,1011,1,1,0.205443
1219,1288,1,1,0.205443
875,1507,1,1,0.205443
1288,1330,1,1,0.205443
875,1478,1,1,0.205443
140,875,1,1,0.205443
395,893,1,1,0.205443
492,893,1,1,0.205443
10,993,1,1,0.205443
993,1011,1,1,0.205443
875,1028,1,1,0.205443
10,274,1,1,0.205443
993,1152,1,1,0.205443
606,699,1,1,0.205443
606,925,1,1,0.205443
699,925,1,1,0.205443
924,1298,1,1,0.205443
10,1101,1,1,0.205443
1011,1101,1,1,0.205443
404,1011,1,1,0.205443
1011,1181,1,1,0.205443
600,1282,1,1,0.205443
336,706,1,1,0.203862
835,1424,1,1,0.203862
671,1011,1,1,0.203862
1215,1377,1,1,0.203862
538,1639,1,1,0.203862
338,505,1,1,0.203862
1266,1530,1,1,0.203862
841,1455,1,1,0.203862
521,1626,1,1,0.203862
1145,1564,1,1,0.203862
531,999,1,1,0.203862
23,671,1,1,0.203862
611,1308,1,1,0.203862
283,1632,1,1,0.203862
611,1572,1,1,0.203862
1308,1572,1,1,0.203862
611,671,1,1,0.203862
208,676,1,1,0.203862
305,1035,1,1,0.203862
208,889,1,1,0.203862
753,773,1,1,0.203862
128,1643,1,1,0.203862
86,549,1,1,0.203862
86,1287,1,1,0.203862
193,338,1,1,0.203862
549,1287,1,1,0.203862
193,505,1,1,0.203862
980,1623,1,1,0.197527
894,1367,1,1,0.197527
807,1367,1,1,0.197527
807,894,1,1,0.197527
328,1059,1,1,0.197527
0,1573,1,1,0.197527
946,1140,1,1,0.197527
40,621,1,1,0.197527
40,86,1,1,0.197527
56,556,1,1,0.197527
366,1126,1,1,0.197527
603,1212,1,1,0.197527
691,699,1,1,0.197527
569,1033,1,1,0.197527
351,1285,1,1,0.197527
460,1547,1,1,0.197527
889,1081,1,1,0.197527
47,556,1,1,0.197527
37,1059,1,1,0.197527
267,964,1,1,0.197527
33,989,1,1,0.197527
804,1031,1,1,0.197527
99,366,1,1,0.197527
33,366,1,1,0.197527
989,1484,1,1,0.197527
340,1484,1,1,0.197527
340,989,1,1,0.197527
219,1213,1,1,0.197527
99,989,1,1,0.197527
99,340,1,1,0.197527
33,1484,1,1,0.197527
99,1484,1,1,0.197527
33,340,1,1,0.197527
391,889,1,1,0.197527
128,192,1,1,0.197527
99,192,1,1,0.197527
77,1140,1,1,0.197527
452,1335,1,1,0.197527
39,754,1,1,0.197527
86,621,1,1,0.197527
1140,1623,1,1,0.197527
292,889,1,1,0.197527
1181,1411,1,1,0.197281
427,1591,1,1,0.197281
380,1591,1,1,0.197281
380,427,1,1,0.197281
480,670,1,1,0.197281
295,1205,1,1,0.197281
251,1591,1,1,0.197281
666,911,1,1,0.197281
1223,1412,1,1,0.197281
127,1517,1,1,0.197281
1517,1596,1,1,0.197281
127,1596,1,1,0.197281
553,1596,1,1,0.197281
553,1517,1,1,0.197281
1072,1411,1,1,0.197281
1079,1509,1,1,0.197281
473,1205,1,1,0.197281
844,1304,1,1,0.197281
1202,1412,1,1,0.197281
455,1254,1,1,0.197281
377,917,1,1,0.197281
994,1605,1,1,0.197281
537,812,1,1,0.197281
727,751,1,1,0.197281
1230,1509,1,1,0.197281
567,1196,1,1,0.197281
42,1196,1,1,0.197281
42,567,1,1,0.197281
567,1230,1,1,0.197281
1377,1509,1,1,0.197281
577,1396,1,1,0.197281
203,830,1,1,0.197281
433,567,1,1,0.197281
567,639,1,1,0.197281
32,1073,1,1,0.197281
60,1599,1,1,0.197281
512,830,1,1,0.197281
1304,1602,1,1,0.197281
844,1602,1,1,0.197281
1223,1353,1,1,0.197281
560,1072,1,1,0.197281
1202,1353,1,1,0.197281
42,1257,1,1,0.197281
567,816,1,1,0.197281
1333,1476,1,1,0.197281
1225,1476,1,1,0.197281
1225,1333,1,1,0.197281
1147,1476,1,1,0.197281
1147,1333,1,1,0.197281
1147,1225,1,1,0.197281
547,1476,1,1,0.197281
547,1333,1,1,0.197281
547,1225,1,1,0.197281
547,1147,1,1,0.197281
294,1471,1,1,0.197281
294,1519,1,1,0.197281
373,1024,1,1,0.197281
373,661,1,1,0.197281
18,1024,1,1,0.197281
18,661,1,1,0.197281
18,373,1,1,0.197281
964,1363,1,1,0.197281
582,1363,1,1,0.197281
582,964,1,1,0.197281
567,1363,1,1,0.197281
567,964,1,1,0.197281
567,582,1,1,0.197281
1202,1263,1,1,0.197281
418,1124,1,1,0.197281
1011,1024,1,1,0.197281
661,1011,1,1,0.197281
1167,1393,1,1,0.197281
830,1394,1,1,0.197281
347,418,1,1,0.197281
60,294,1,1,0.197281
127,728,1,1,0.197281
60,567,1,1,0.197281
1167,1223,1,1,0.197281
1412,1595,1,1,0.197281
1412,1472,1,1,0.197281
1504,1595,1,1,0.197281
1353,1504,1,1,0.197281
1024,1108,1,1,0.197281
728,1024,1,1,0.197281
127,1108,1,1,0.197281
728,1108,1,1,0.197281
1024,1429,1,1,0.197281
567,591,1,1,0.197281
127,313,1,1,0.197281
591,1561,1,1,0.197281
567,1561,1,1,0.197281
60,591,1,1,0.197281
60,1561,1,1,0.197281
294,567,1,1,0.197281
294,591,1,1,0.197281
294,1561,1,1,0.197281
500,1135,1,1,0.196796
411,1282,1,1,0.196796
1025,1248,1,1,0.196796
274,806,1,1,0.196796
277,1143,1,1,0.196796
578,1212,1,1,0.196796
578,1446,1,1,0.196796
1288,1298,1,1,0.196796
343,1282,1,1,0.196796
1231,1248,1,1,0.196796
578,780,1,1,0.196796
1154,1220,1,1,0.196796
585,1140,1,1,0.196796
311,794,1,1,0.196796
906,1501,1,1,0.196796
816,1611,1,1,0.196796
1070,1245,1,1,0.196796
371,789,1,1,0.196796
